Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
184,6.231111111,46.00194444,475,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.312181818,11.91,NA,592.7038,1.446147,17.353764,1.443221,9.583333333,9.583333333,94.75,1137,146.5833333,5.459910599,NA
184,6.231111111,46.00194444,475,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,0.324250996,24.45850144,NA,592.7038,1.446147,17.353764,1.443221,9.583333333,9.583333333,94.75,1137,146.5833333,5.459910599,NA
184,6.231111111,46.00194444,475,Tilia cordata,deciduous,angiosperm,0.162125,17.07272727,NA,592.7038,1.446147,17.353764,1.443221,9.583333333,9.583333333,94.75,1137,146.5833333,5.459910599,NA
184,6.231111111,46.00194444,475,"Ulmus glabra (U. scabra, U. scaba, U. montana)",deciduous,angiosperm,0.08725,10.6,NA,592.7038,1.446147,17.353764,1.443221,9.583333333,9.583333333,94.75,1137,146.5833333,5.459910599,NA
185,15.38277778,46.00194444,975,Acer pseudoplatanus*,deciduous,angiosperm,0.322,32.8,NA,654.1612,1.480581,17.766972,1.477692,11.175,11.175,78.25,939,139.6666667,4.404239507,NA
185,15.38277778,46.00194444,975,Fagus sylvatica*,deciduous,angiosperm,0.318421053,30.49210526,NA,654.1612,1.480581,17.766972,1.477692,11.175,11.175,78.25,939,139.6666667,4.404239507,NA
185,15.38277778,46.00194444,975,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.287357143,27.46,NA,654.1612,1.480581,17.766972,1.477692,11.175,11.175,78.25,939,139.6666667,4.404239507,NA
185,15.38277778,46.00194444,975,Sorbus aria,deciduous,angiosperm,0.225,23.6,NA,654.1612,1.480581,17.766972,1.477692,11.175,11.175,78.25,939,139.6666667,4.404239507,NA
187,6.585,46.00222222,825,Abies alba*,evergreen,gymnosperm,0.125714067,8.904534606,NA,785.5078,1.535969,18.431628,1.535969,13.14166667,13.14166667,117.1666667,1406,142.5833333,6.356826791,NA
187,6.585,46.00222222,825,Fagus sylvatica*,deciduous,angiosperm,0.455518325,32.24703704,NA,785.5078,1.535969,18.431628,1.535969,13.14166667,13.14166667,117.1666667,1406,142.5833333,6.356826791,NA
187,6.585,46.00222222,825,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.098,7.132432432,NA,785.5078,1.535969,18.431628,1.535969,13.14166667,13.14166667,117.1666667,1406,142.5833333,6.356826791,NA
186,13.48944444,46.00222222,825,Fagus sylvatica*,deciduous,angiosperm,0.075741935,9.511111111,NA,814.6605,1.173082,14.076984,1.100525,7.577777778,4.85,138.0833333,1657,144.75,9.80915609,NA
186,13.48944444,46.00222222,825,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.372181019,32.25530973,NA,814.6605,1.173082,14.076984,1.100525,7.577777778,4.85,138.0833333,1657,144.75,9.80915609,NA
189,15.11416667,46.00222222,925,Acer campestre*,deciduous,angiosperm,0.24,27.3,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Acer platanoides,deciduous,angiosperm,0.217583333,23.95,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Acer pseudoplatanus*,deciduous,angiosperm,0.25762963,24.36363636,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Fagus sylvatica*,deciduous,angiosperm,0.260066806,25.31836735,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Larix decidua*,deciduous,gymnosperm,0.475666667,29.7,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.33,26.50285714,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
189,15.11416667,46.00222222,925,Pinus sylvestris*,evergreen,gymnosperm,0.545333333,28.86666667,NA,817.6065,1.417322,17.007864,1.414069,12.55454545,11.5,99.25,1191,138.3333333,5.835535844,NA
188,19.96694444,46.00222222,125,Pinus sylvestris*,evergreen,gymnosperm,0.14475594,12.15777778,NA,235.5793,1.52176,18.26112,1.325945,11.23636364,10.275,44.08333333,529,147.4166667,2.414054195,NA
188,19.96694444,46.00222222,125,Populus alba,deciduous,angiosperm,0.28625,16.375,NA,235.5793,1.52176,18.26112,1.325945,11.23636364,10.275,44.08333333,529,147.4166667,2.414054195,NA
190,5.970277778,46.0025,175,Betula pubescens*,deciduous,angiosperm,0.121,NA,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
190,5.970277778,46.0025,175,Carpinus betulus*,deciduous,angiosperm,0.121314486,16.36910112,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
190,5.970277778,46.0025,175,Corylus avellana*,deciduous,angiosperm,0.06175,NA,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
190,5.970277778,46.0025,175,Fraxinus excelsior*,deciduous,angiosperm,0.172301994,21.95517241,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
190,5.970277778,46.0025,175,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,0.366368491,26.19566929,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
190,5.970277778,46.0025,175,Tilia cordata,deciduous,angiosperm,0.169388889,NA,NA,657.2395,1.479221,17.750652,1.479221,11.29166667,11.29166667,78.58333333,943,147.4166667,4.42706743,NA
191,7.269722222,46.0025,1075,Acer pseudoplatanus*,deciduous,angiosperm,0.061,4.4,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Alnus incana,deciduous,angiosperm,0.058,NA,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Betula pendula*,deciduous,angiosperm,0.09975,10.13333333,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Juniperus communis,evergreen,gymnosperm,0.05075,NA,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Larix decidua*,deciduous,gymnosperm,0.2153,14.56666667,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.234,13.53333333,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Pinus sylvestris*,evergreen,gymnosperm,0.167435185,10.5837727,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Quercus pubescens*,deciduous,angiosperm,0.086933333,5.223076923,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Salix sp.,deciduous,angiosperm,0.053428571,5.625,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
191,7.269722222,46.0025,1075,Sorbus aria,deciduous,angiosperm,0.08325,6.766666667,NA,610.7049,0.8830118,10.5961416,0.8138052,4.783333333,-1.016666667,73.41666667,881,147.75,6.928622648,NA
192,19.96277778,46.0025,125,Pinus nigra*,evergreen,gymnosperm,0.29306579,22.74646465,3.484290172,301.9446,1.500357,18.004284,1.377928,12.55454545,11.5,43.91666667,527,147.4166667,2.439234277,0.52267928
192,19.96277778,46.0025,125,Pinus sylvestris*,evergreen,gymnosperm,0.270284884,21.228125,NA,301.9446,1.500357,18.004284,1.377928,12.55454545,11.5,43.91666667,527,147.4166667,2.439234277,NA
192,19.96277778,46.0025,125,Populus alba,deciduous,angiosperm,0.338,22.7,NA,301.9446,1.500357,18.004284,1.377928,12.55454545,11.5,43.91666667,527,147.4166667,2.439234277,NA
193,5.171388889,46.00277778,275,Carpinus betulus*,deciduous,angiosperm,0.095183413,13.57272727,NA,644.6098,1.479565,17.75478,1.479565,11.975,11.975,91.08333333,1093,144.6666667,5.130073892,NA
193,5.171388889,46.00277778,275,Fagus sylvatica*,deciduous,angiosperm,0.097535211,NA,NA,644.6098,1.479565,17.75478,1.479565,11.975,11.975,91.08333333,1093,144.6666667,5.130073892,NA
193,5.171388889,46.00277778,275,Quercus petraea*,deciduous,angiosperm,0.351312169,27.18784314,NA,644.6098,1.479565,17.75478,1.479565,11.975,11.975,91.08333333,1093,144.6666667,5.130073892,NA
194,9.237777778,46.00277778,1175,Abies alba*,evergreen,gymnosperm,0.180233429,21.34810127,36.45721154,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,9.475210097
194,9.237777778,46.00277778,1175,Acer pseudoplatanus*,deciduous,angiosperm,0.1394,11.2,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Betula pendula*,deciduous,angiosperm,0.186236842,17.1,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Fagus sylvatica*,deciduous,angiosperm,0.123056911,15.632,45.25638221,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,23.52660593
194,9.237777778,46.00277778,1175,Fraxinus excelsior*,deciduous,angiosperm,0.1634,20.96,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Larix decidua*,deciduous,gymnosperm,0.268619048,27.42,29.85180556,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,4.052904292
194,9.237777778,46.00277778,1175,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.225508039,23.8231405,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Populus tremula*,deciduous,angiosperm,0.208,NA,28.19650735,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Salix caprea,deciduous,angiosperm,0.1985625,NA,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
194,9.237777778,46.00277778,1175,Sorbus aucuparia,deciduous,angiosperm,0.085153846,13.7,NA,700,1.260149,15.121788,1.22363,12.81666667,12.81666667,102.1666667,1226,147.25,6.75625572,NA
195,10.66388889,46.00277778,1925,Pinus mugo (P. montana)*,evergreen,gymnosperm,0.125054919,10.02280891,NA,730.2033,1.260149,15.121788,1.22363,9.233333333,6.333333333,90.33333333,1084,134.1666667,5.973720392,NA
196,2.668055556,46.00305556,275,Carpinus betulus*,deciduous,angiosperm,0.142679083,11.9875,23.02230556,696.3516,1.328405,15.94086,1.328405,9.3,9.3,81.58333333,979,136.9166667,5.11787528,13.46045945
196,2.668055556,46.00305556,275,Fagus sylvatica*,deciduous,angiosperm,0.187707865,21.63035714,25.91080028,696.3516,1.328405,15.94086,1.328405,9.3,9.3,81.58333333,979,136.9166667,5.11787528,6.381674758
196,2.668055556,46.00305556,275,Ilex aquifolium,evergreen,angiosperm,0.051,NA,4.216267708,696.3516,1.328405,15.94086,1.328405,9.3,9.3,81.58333333,979,136.9166667,5.11787528,NA
196,2.668055556,46.00305556,275,Quercus petraea*,deciduous,angiosperm,0.40714774,31.06812749,NA,696.3516,1.328405,15.94086,1.328405,9.3,9.3,81.58333333,979,136.9166667,5.11787528,NA
197,16.49722222,46.00305556,175,Acer opalus,deciduous,angiosperm,0.162791304,19.98,NA,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,NA
197,16.49722222,46.00305556,175,Acer pseudoplatanus*,deciduous,angiosperm,0.178578947,19.55625,20.41785,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,5.846475992
197,16.49722222,46.00305556,175,Carpinus betulus*,deciduous,angiosperm,0.148018987,18.25588235,8.0384,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,2.974742357
197,16.49722222,46.00305556,175,Prunus avium*,deciduous,angiosperm,0.1553,18.86,5.099416071,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,1.741034208
197,16.49722222,46.00305556,175,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,0.47171028,31.45789474,6.1544,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,0.414744584
197,16.49722222,46.00305556,175,"Ulmus glabra (U. scabra, U. scaba, U. montana)",deciduous,angiosperm,0.128285714,12.45384615,5.035207233,597.8417,1.46211,17.54532,1.461285,11.6,11.6,70.5,846,142.75,4.018165528,3.151632406
198,8.023888889,46.00333333,975,Alnus glutinosa*,deciduous,angiosperm,0.087333333,9.533333333,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Betula pendula*,deciduous,angiosperm,0.08673913,8.372727273,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Castanea sativa (C. vesca)*,deciduous,angiosperm,0.105693617,9.114736842,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Corylus avellana*,deciduous,angiosperm,0.0542,5.95,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Other broadleaves,deciduous,angiosperm,0.09,5.3,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Prunus avium*,deciduous,angiosperm,0.06925,7.8875,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Quercus cerris*,deciduous,angiosperm,0.177752347,12.81278027,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,0.071358974,7.222222222,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
198,8.023888889,46.00333333,975,Sorbus aria,deciduous,angiosperm,0.0653,7.725,NA,658.1341,0.7298411,8.7580932,0.6461215,4.86,-1.891666667,87,1044,141.5,9.933669123,NA
200,15.46333333,46.00333333,1275,Abies alba*,evergreen,gymnosperm,0.105,4.9,NA,694.2553,1.439911,17.278932,1.42235,13.33333333,9.866666667,78.66666667,944,140.25,4.552750521,NA
200,15.46333333,46.00333333,1275,Acer pseudoplatanus*,deciduous,angiosperm,0.295333333,22.5625,NA,694.2553,1.439911,17.278932,1.42235,13.33333333,9.866666667,78.66666667,944,140.25,4.552750521,NA
200,15.46333333,46.00333333,1275,Fagus sylvatica*,deciduous,angiosperm,0.301633803,22.61734694,NA,694.2553,1.439911,17.278932,1.42235,13.33333333,9.866666667,78.66666667,944,140.25,4.552750521,NA
200,15.46333333,46.00333333,1275,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.487396552,28.77307692,NA,694.2553,1.439911,17.278932,1.42235,13.33333333,9.866666667,78.66666667,944,140.25,4.552750521,NA
199,22.69305556,46.00333333,1125,Fagus sylvatica*,deciduous,angiosperm,0.218,12.57391304,NA,439.4083,1.507596,18.091152,1.502774,11.18333333,11.18333333,62.83333333,754,139.9166667,3.473152695,NA
199,22.69305556,46.00333333,1125,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.229347932,16.91456311,NA,439.4083,1.507596,18.091152,1.502774,11.18333333,11.18333333,62.83333333,754,139.9166667,3.473152695,NA
201,15.62305556,46.00361111,625,Abies alba*,evergreen,gymnosperm,0.175873853,13.95835544,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Acer pseudoplatanus*,deciduous,angiosperm,0.422818182,26.53333333,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Castanea sativa (C. vesca)*,deciduous,angiosperm,0.242869565,20.11764706,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Fagus sylvatica*,deciduous,angiosperm,0.255254546,21.63571429,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Larix decidua*,deciduous,gymnosperm,0.6056,35.325,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.339650443,28.0494186,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Pinus sylvestris*,evergreen,gymnosperm,0.4495,29.2,NA,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
201,15.62305556,46.00361111,625,Quercus petraea*,deciduous,angiosperm,0.5484,33.075,7.778041667,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,0.42881796
201,15.62305556,46.00361111,625,Sorbus aucuparia,deciduous,angiosperm,0.167,NA,10.90987533,685.0272,1.422943,17.075316,1.409633,10.91818182,9.958333333,97.66666667,1172,142,5.719757495,NA
202,7.298055556,46.00388889,725,Betula pendula*,deciduous,angiosperm,0.14472,8.233333333,NA,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,NA
202,7.298055556,46.00388889,725,Fraxinus excelsior*,deciduous,angiosperm,0.09334375,6.25,NA,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,NA
202,7.298055556,46.00388889,725,Juniperus communis,evergreen,gymnosperm,0.067126214,4.464705882,NA,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,NA
202,7.298055556,46.00388889,725,NA,NA,NA,0.059,NA,NA,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,NA
202,7.298055556,46.00388889,725,Ostrya carpinifolia*,deciduous,angiosperm,0.061,5.6,10.93717894,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,32.01750275
202,7.298055556,46.00388889,725,Other broadleaves,deciduous,angiosperm,0.055105263,3.91,63.585,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,295.1106202
202,7.298055556,46.00388889,725,Pinus sylvestris*,evergreen,gymnosperm,0.159866213,7.584037559,15.98499264,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,13.18424541
202,7.298055556,46.00388889,725,Prunus avium*,deciduous,angiosperm,0.090955696,5.691304348,68.41086222,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,132.1549249
202,7.298055556,46.00388889,725,Quercus pubescens*,deciduous,angiosperm,0.160883721,6.966666667,18.0864,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,16.13671013
202,7.298055556,46.00388889,725,Sorbus aria,deciduous,angiosperm,0.102775561,6.027358491,27.52620854,713.44,0.9088546,10.9062552,0.8493656,5.416666667,-0.433333333,68.83333333,826,147.75,6.311362798,44.43544327
203,16.82333333,46.00416667,275,Pinus sylvestris*,evergreen,gymnosperm,0.269561934,24.36600791,15.03885134,488.4804,1.473568,17.682816,1.472556,11.46666667,11.46666667,64.25,771,143.5833333,3.633471049,2.289663821
204,16.82222222,46.00444444,275,Carpinus betulus*,deciduous,angiosperm,0.168222222,17.65714286,18.17333483,488.4809,1.473566,17.682792,1.472554,11.46666667,11.46666667,64.25,771,143.5833333,3.63347598,6.118300905
204,16.82222222,46.00444444,275,Pinus sylvestris*,evergreen,gymnosperm,0.318083333,24.66363636,11.45375557,488.4809,1.473566,17.682792,1.472554,11.46666667,11.46666667,64.25,771,143.5833333,3.63347598,1.459990026
204,16.82222222,46.00444444,275,Quercus petraea*,deciduous,angiosperm,0.328825532,24.88369565,NA,488.4809,1.473566,17.682792,1.472554,11.46666667,11.46666667,64.25,771,143.5833333,3.63347598,NA
206,9.699444444,46.00472222,1475,Juniperus communis,evergreen,gymnosperm,0.0734,5.266666667,70.7932625,687.3005,1.306918,15.683016,1.285664,10.19,8.341666667,100.5833333,1207,130.4166667,6.41351978,183.1302275
206,9.699444444,46.00472222,1475,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.165659899,9.310416667,109.9289469,687.3005,1.306918,15.683016,1.285664,10.19,8.341666667,100.5833333,1207,130.4166667,6.41351978,71.27308511
206,9.699444444,46.00472222,1475,Pinus sylvestris*,evergreen,gymnosperm,0.295011628,14.53947368,80.9934865,687.3005,1.306918,15.683016,1.285664,10.19,8.341666667,100.5833333,1207,130.4166667,6.41351978,18.88262092
205,11.36138889,46.00472222,1775,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.414589362,29.96041667,NA,758.9971,1.258956,15.107472,1.225029,8.355555556,5.491666667,84.66666667,1016,140.8333333,5.604290822,NA
205,11.36138889,46.00472222,1775,Pinus cembra*,evergreen,gymnosperm,0.3872,22.56,NA,758.9971,1.258956,15.107472,1.225029,8.355555556,5.491666667,84.66666667,1016,140.8333333,5.604290822,NA
207,16.59722222,46.00472222,225,Carpinus betulus*,deciduous,angiosperm,0.244733333,25.02666667,NA,657.238,1.465433,17.585196,1.463595,11.34166667,11.34166667,75.83333333,910,143.4166667,4.312339387,NA
207,16.59722222,46.00472222,225,Fagus sylvatica*,deciduous,angiosperm,0.369851064,30.48956522,13.37624415,657.238,1.465433,17.585196,1.463595,11.34166667,11.34166667,75.83333333,910,143.4166667,4.312339387,1.186194984
207,16.59722222,46.00472222,225,Quercus petraea*,deciduous,angiosperm,0.3464,29,NA,657.238,1.465433,17.585196,1.463595,11.34166667,11.34166667,75.83333333,910,143.4166667,4.312339387,NA
208,9.816666667,46.005,1625,Abies alba*,evergreen,gymnosperm,0.055,4.4,114.5001,666.4351,0.8187054,9.8244648,0.7059225,6.266666667,0.358333333,151,1812,134.25,15.36979399,473.1409091
208,9.816666667,46.005,1625,Picea abies (P. excelsa)*,evergreen,gymnosperm,0.263832853,18.66776119,13.8474,666.4351,0.8187054,9.8244648,0.7059225,6.266666667,0.358333333,151,1812,134.25,15.36979399,2.811558519
209,19.96583333,46.005,125,Populus canescens,deciduous,angiosperm,0.295204918,23.82169811,NA,304.0344,1.500339,18.004068,1.377419,12.55454545,11.5,43.91666667,527,147.4166667,2.439263541,NA
209,19.96583333,46.005,125,Populus hybrides*,deciduous,angiosperm,0.2912,24.91463415,NA,304.0344,1.500339,18.004068,1.377419,12.55454545,11.5,43.91666667,527,147.4166667,2.439263541,NA
209,19.96583333,46.005,125,Populus nigra*,deciduous,angiosperm,0.3294,22.7,NA,304.0344,1.500339,18.004068,1.377419,12.55454545,11.5,43.91666667,527,147.4166667,2.439263541,NA
210,19.94416667,46.00527778,125,Other broadleaves,deciduous,angiosperm,0.18,16.7,NA,311.577,1.48478,17.81736,1.406956,12.46363636,11.40833333,45.41666667,545,146,2.549012125,NA
210,19.94416667,46.00527778,125,Robinia pseudoacacia*,deciduous,angiosperm,0.135280549,14.3354067,4.039736965,311.577,1.48478,17.81736,1.406956,12.46363636,11.40833333,45.41666667,545,146,2.549012125,2.083088459
211,12.05722222,46.00555556,1125,Fagus sylvatica*,deciduous,angiosperm,0.361878924,26.54688797,NA,702.651,1.423963,17.087556,1.400554,10,9.108333333,116.75,1401,144.75,6.832457491,NA
212,3.970277778,46.00583333,275,Acer campestre*,deciduous,angiosperm,0.1,NA,22.39371622,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,NA
212,3.970277778,46.00583333,275,Carpinus betulus*,deciduous,angiosperm,0.075158305,11.69615385,NA,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,NA
212,3.970277778,46.00583333,275,Fagus sylvatica*,deciduous,angiosperm,0.098956063,15.3519084,NA,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,NA
212,3.970277778,46.00583333,275,Quercus cerris*,deciduous,angiosperm,0.063,NA,15.53441406,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,NA
212,3.970277778,46.00583333,275,Quercus petraea*,deciduous,angiosperm,0.265918307,23.8959707,38.56689904,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,6.069344747
212,3.970277778,46.00583333,275,Sorbus torminalis,deciduous,angiosperm,0.0848,NA,24.16389122,519.386,1.40566,16.86792,1.40566,11.30833333,11.30833333,65,780,139.1666667,3.853468596,NA
213,0.627222222,46.0075,125,Carpinus betulus*,deciduous,angiosperm,0.117836066,NA,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
213,0.627222222,46.0075,125,Fagus sylvatica*,deciduous,angiosperm,0.120978408,17.72393162,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
213,0.627222222,46.0075,125,Ilex aquifolium,evergreen,angiosperm,0.072636161,6.283333333,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
213,0.627222222,46.0075,125,Other broadleaves,deciduous,angiosperm,0.070748977,6.744,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
213,0.627222222,46.0075,125,Quercus petraea*,deciduous,angiosperm,0.345782557,27.43136531,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
213,0.627222222,46.0075,125,Sorbus torminalis,deciduous,angiosperm,0.102618421,NA,NA,584.6741,1.400355,16.80426,1.400355,12.08333333,12.08333333,67.08333333,805,138.5833333,3.992043287,NA
