Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
63,2.774166667,41.005,825,NA,NA,NA,NA,NA,57.96923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,14.9025,41.00583333,925,Abies alba*,evergreen,gymnosperm,0.163993902,16.14642857,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Acer campestre*,deciduous,angiosperm,0.138529412,17.87142857,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Acer opalus,deciduous,angiosperm,0.1569375,17.48571429,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Carpinus betulus*,deciduous,angiosperm,0.086365931,15.4,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Crataegus monogyna,deciduous,angiosperm,0.036,NA,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Fagus sylvatica*,deciduous,angiosperm,0.151,15.5,24.27084135,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,10.36993862
64,14.9025,41.00583333,925,Fraxinus excelsior*,deciduous,angiosperm,0.105625,19.15,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Other broadleaves,deciduous,angiosperm,0.207055556,NA,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Quercus cerris*,deciduous,angiosperm,0.326243243,24.34210526,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Sorbus torminalis,deciduous,angiosperm,0.120045455,12.76666667,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,Tilia platyphyllos,deciduous,angiosperm,0.1049375,14.525,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
64,14.9025,41.00583333,925,"Ulmus glabra (U. scabra, U. scaba, U. montana)",deciduous,angiosperm,0.075863636,12.175,NA,457.4289,1.806897,21.682764,1.806782,13.775,13.775,76.58333333,919,166.75,3.531991278,NA
65,13.23583333,41.00611111,175,Arbutus unedo,evergreen,angiosperm,0.094669048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Erica arborea,evergreen,angiosperm,0.072380952,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Fraxinus ornus*,deciduous,angiosperm,0.079447837,9.674603175,30.33760817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.46990667
65,13.23583333,41.00611111,175,Ilex aquifolium,evergreen,angiosperm,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Other broadleaves,deciduous,angiosperm,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Phyllyrea angustifolia,evergreen,angiosperm,0.061318841,6.491666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,13.23583333,41.00611111,175,Pistacia lentiscus,evergreen,angiosperm,0.041333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
