Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
520,-6.027777778,52.00055556,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.326679487,NA,NA,NA,NA,NA,NA,ICP
521,-7.465555556,52.00083333,Picea sitchensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.225244821,NA,NA,NA,NA,NA,NA,ICP
522,-7.848055556,52.00111111,Picea sitchensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.322212121,NA,NA,NA,10.91666667,6.828422057,18.82076256,ICP
523,-8.945,52.00138889,Picea sitchensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.209302817,NA,NA,NA,9.283333333,11.28988948,17.39602656,ICP
523,-8.945,52.00138889,Pinus contorta*,evergreen,gymnosperm,Evergreen gymnosperm,0.187823529,NA,NA,NA,9.283333333,11.28988948,17.39602656,ICP
524,-8.696944444,52.00166667,Pinus contorta*,evergreen,gymnosperm,Evergreen gymnosperm,0.21698125,NA,29.64695913,NA,9.758333333,9.685353778,18.13688928,ICP
525,-7.416666667,52.00194444,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.193402299,NA,NA,NA,NA,NA,NA,ICP
526,6.972777778,52.01083333,Larix kaempferi (L.leptolepis),deciduous,gymnosperm,Deciduous gymnosperm,0.283685714,21.67428571,NA,NA,9.866666667,5.312859975,19.59012,ICP
526,6.972777778,52.01083333,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.245875,18.9125,NA,NA,9.866666667,5.312859975,19.59012,ICP
526,6.972777778,52.01083333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.2565,15.60555556,NA,NA,9.866666667,5.312859975,19.59012,ICP
526,6.972777778,52.01083333,Pseudotsuga menziesii*,evergreen,gymnosperm,Evergreen gymnosperm,0.27549133,20.16242775,30.4772476,5.486873952,9.866666667,5.312859975,19.59012,ICP
527,6.880277778,52.01611111,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.0845,8.25,NA,NA,9.9,5.233000649,19.54737792,ICP
