Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
1,-17.85138889,28.01416667,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.113888889,13.08888889,39.3568693,26.40197449,NA,NA,NA,ICP
1,-17.85138889,28.01416667,Erica arborea,evergreen,angiosperm,Evergreen angiosperm,0.144659686,13.57259615,33.34708036,16.984289,NA,NA,NA,ICP
1,-17.85138889,28.01416667,Laurus canariensis,evergreen,angiosperm,Evergreen angiosperm,0.151666667,14.68333333,12.689525,5.698106536,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.260274914,18.04326241,3.926949329,0.836195682,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Erica arborea,evergreen,angiosperm,Evergreen angiosperm,0.2,19.828,49.70186381,12.53325192,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Ilex canariensis,evergreen,angiosperm,Evergreen angiosperm,0.254642857,18.12142857,NA,NA,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Laurus canariensis,evergreen,angiosperm,Evergreen angiosperm,0.178181818,16.53636364,49.76814282,16.89071503,NA,NA,NA,ICP
2,-17.87444444,28.01444444,Myrica faya,evergreen,angiosperm,Evergreen angiosperm,0.802,22.02,38.97883857,2.207177253,NA,NA,NA,ICP
3,-16.80861111,28.01472222,Pinus canariensis,evergreen,gymnosperm,Evergreen gymnosperm,0.414148148,13.36728395,106.4525491,19.22902076,NA,NA,NA,ICP
4,32.95222222,34.01722222,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.346076923,18.8021978,NA,NA,NA,NA,NA,ICP
5,32.92944444,34.0175,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.335738095,19.91428571,NA,NA,NA,NA,NA,ICP
5,32.92944444,34.0175,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.368333333,20.85,NA,NA,NA,NA,NA,ICP
6,33.01388889,35.01694444,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.237414634,11.35365854,NA,NA,16.95833333,1.957106896,36.60146784,ICP
7,32.02,35.01777778,Pinus brutia*,evergreen,gymnosperm,Evergreen gymnosperm,0.237133333,16.79166667,NA,NA,NA,NA,NA,ICP
8,-5.629444444,36.00472222,Arbutus unedo,evergreen,angiosperm,Evergreen angiosperm,0.170555556,6.65,NA,NA,NA,NA,33.82323264,ICP
8,-5.629444444,36.00472222,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.300790861,7.893975904,NA,NA,NA,NA,33.82323264,ICP
9,-25.20583333,37.00194444,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.176333333,6.65,NA,NA,NA,NA,NA,ICP
10,-25.22666667,37.00222222,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.213617978,7.533333333,NA,NA,NA,NA,NA,ICP
11,-7.454444444,37.0025,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.111376147,NA,54.28199519,NA,NA,NA,NA,ICP
12,-6.844722222,37.00277778,Pinus pinea*,evergreen,gymnosperm,Evergreen gymnosperm,0.23031941,9.577764706,NA,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Acer campestre*,deciduous,angiosperm,Deciduous angiosperm,0.07,NA,63.53059406,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.206813175,16.98810573,NA,NA,NA,NA,NA,ICP
13,13.90888889,37.00416667,Quercus pubescens*,deciduous,angiosperm,Deciduous angiosperm,0.179933333,NA,NA,NA,NA,NA,NA,ICP
14,-5.169722222,37.00444444,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.242337662,7.213605442,NA,NA,13.75833333,2.699119983,35.50442112,ICP
15,-2.098333333,37.0075,Juniperus communis,evergreen,gymnosperm,Evergreen gymnosperm,0.164166667,6.375,48.27561298,46.12778776,17.50833333,0.648191677,35.87485248,ICP
15,-2.098333333,37.0075,Juniperus oxycedrus*,evergreen,gymnosperm,Evergreen gymnosperm,0.1125,6,NA,NA,17.50833333,0.648191677,35.87485248,ICP
15,-2.098333333,37.0075,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.246341936,13.40540839,25.47479421,7.714224704,17.50833333,0.648191677,35.87485248,ICP
16,-3.968611111,37.00777778,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.146911197,4.306504065,NA,NA,13.90833333,1.571833028,36.01732608,ICP
17,-7.456111111,37.01916667,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.069003676,5.751724138,NA,NA,NA,NA,NA,ICP
17,-7.456111111,37.01916667,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,ICP
18,-6.535,37.03583333,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.104576271,6.734110169,NA,NA,18.575,1.886161259,36.17404704,ICP
19,-8.036944444,38.00055556,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.294310345,NA,NA,NA,16.9,1.875991143,34.57834272,ICP
20,16.42722222,38.00083333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.4085625,27.76026786,NA,NA,16.65833333,NA,NA,ICP
20,16.42722222,38.00083333,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.056571429,NA,NA,NA,NA,NA,NA,ICP
21,-7.900555556,38.00083333,Quercus rotundifolia*,evergreen,angiosperm,Evergreen angiosperm,0.1637,NA,NA,NA,NA,NA,34.64957952,ICP
22,21.87444444,38.00111111,Abies borisii-regis*,evergreen,gymnosperm,Evergreen gymnosperm,0.404701385,22.80443213,NA,NA,16.10833333,3.138002963,31.35843936,ICP
23,-8.678611111,38.00111111,Pinus pinea*,evergreen,gymnosperm,Evergreen gymnosperm,0.388868421,NA,NA,NA,9.1,2.376572237,34.25065344,ICP
24,-28.56888889,38.00138889,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.0776,3,NA,NA,NA,NA,NA,ICP
24,-28.56888889,38.00138889,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.17436,2.46,NA,NA,NA,NA,NA,ICP
25,-27.25166667,38.00166667,Other conifers,evergreen,gymnosperm,Evergreen gymnosperm,0.285133333,19.6952381,13.0722125,2.327768961,NA,NA,NA,ICP
26,-2.905555556,38.00222222,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.290380952,9.833333333,52.7516226,18.47425512,13.30833333,2.257634857,34.2649008,ICP
27,-8.348611111,38.00333333,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.157853659,NA,9.2002,NA,17.30833333,1.941752325,34.16516928,ICP
28,-6.526388889,38.00333333,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.646893204,8.65,70.85261564,12.66214235,15.95833333,2.515713433,34.39312704,ICP
29,-8.680833333,38.00361111,Arbutus unedo,evergreen,angiosperm,Evergreen angiosperm,0.105,NA,19.37571898,NA,16.10833333,2.248722278,34.25065344,ICP
29,-8.680833333,38.00361111,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.17,NA,13.8474,NA,16.10833333,2.248722278,34.25065344,ICP
29,-8.680833333,38.00361111,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.285,NA,12.23291667,NA,16.10833333,2.248722278,34.25065344,ICP
30,-0.480277778,38.00694444,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.201068133,9.680529101,114.4716001,58.81057334,NA,NA,NA,ICP
31,-4.817777778,38.00722222,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.254329268,7.604635762,55.1129189,28.49565565,16.15,2.003536876,34.86328992,ICP
32,-2.523611111,38.01277778,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.295421687,10.97205624,47.1170345,14.53608821,8.941666667,2.219366273,33.93721152,ICP
33,-2.921111111,38.01888889,Quercus coccifera (Q. calliprinos)*,evergreen,angiosperm,Evergreen angiosperm,0.09,NA,NA,NA,10.94166667,3.292944182,34.2649008,ICP
33,-2.921111111,38.01888889,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.213394495,12.3125,31.36725946,11.93842736,10.94166667,3.292944182,34.2649008,ICP
33,-2.921111111,38.01888889,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.18,NA,127.8470625,NA,10.94166667,3.292944182,34.2649008,ICP
34,-2.923055556,38.03555556,Fraxinus angustifolia spp. oxycarpa (F. oxyphylla)*,deciduous,angiosperm,Deciduous angiosperm,0.17,7.5,NA,NA,10.95,3.290858206,34.2649008,ICP
34,-2.923055556,38.03555556,Quercus faginea*,deciduous,angiosperm,Deciduous angiosperm,0.125,6.666666667,NA,NA,10.95,3.290858206,34.2649008,ICP
34,-2.923055556,38.03555556,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.1,4.5,NA,NA,10.95,3.290858206,34.2649008,ICP
34,-2.923055556,38.03555556,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.259223744,11.96803653,35.87223558,11.56273994,10.95,3.290858206,34.2649008,ICP
35,22.78555556,39.00055556,Quercus frainetto (Q. conferta)*,deciduous,angiosperm,Deciduous angiosperm,0.213961166,14.50347395,NA,NA,10.49166667,2.729602169,28.62294624,ICP
35,22.78555556,39.00055556,NA,NA,NA,NA,NA,NA,NA,NA,10.49166667,2.729602169,28.62294624,ICP
36,22.79777778,39.00083333,Fagus moesiaca*,deciduous,angiosperm,Deciduous angiosperm,0.343802083,24.86916667,NA,NA,11.525,2.576848332,28.62294624,ICP
37,-5.065277778,39.00194444,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.220733496,6.04551495,NA,NA,16.625,1.899192122,35.06275296,ICP
38,8.348888889,39.00388889,Acer monspessulanum*,deciduous,angiosperm,Deciduous angiosperm,0.112575758,NA,NA,NA,NA,NA,NA,ICP
38,8.348888889,39.00388889,Arbutus unedo,evergreen,angiosperm,Evergreen angiosperm,0.125,NA,26.82963942,NA,NA,NA,NA,ICP
38,8.348888889,39.00388889,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.071066667,8.108333333,NA,NA,NA,NA,NA,ICP
38,8.348888889,39.00388889,Phillyrea latifolia,evergreen,angiosperm,Evergreen angiosperm,0.084126984,5.5,NA,NA,NA,NA,NA,ICP
38,8.348888889,39.00388889,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.188795723,16.37455621,23.20844952,7.507311524,NA,NA,NA,ICP
39,2.824722222,39.01111111,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.18156701,5.876447876,NA,NA,NA,NA,NA,ICP
40,3.854444444,39.01138889,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.230641763,14.4857671,NA,NA,NA,NA,NA,ICP
41,-1.164444444,39.01194444,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.190875371,9.621463415,NA,NA,14.03333333,1.237278768,33.83748,ICP
42,-4.61,39.01222222,Quercus faginea*,deciduous,angiosperm,Deciduous angiosperm,0.109286694,5.858304297,NA,NA,15.73333333,1.798614565,34.906032,ICP
43,-4.395,39.01361111,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.114444444,8.325,NA,NA,15.61666667,1.998664737,34.549848,ICP
43,-4.395,39.01361111,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.142679128,6.796753247,52.89692308,54.54669741,15.61666667,1.998664737,34.549848,ICP
44,-0.653333333,39.015,Eucalyptus sp.*,evergreen,angiosperm,Evergreen angiosperm,0.202916667,12.35,NA,NA,17.21666667,1.684726114,33.49554336,ICP
44,-0.653333333,39.015,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.368333333,11.72403101,NA,NA,17.21666667,1.684726114,33.49554336,ICP
45,-8.925,40.00027778,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.175606469,NA,16.418275,NA,NA,NA,31.78586016,ICP
45,-8.925,40.00027778,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.17,NA,26.31792488,NA,NA,NA,31.78586016,ICP
46,15.61166667,40.00055556,Acer campestre*,deciduous,angiosperm,Deciduous angiosperm,0.052,NA,NA,NA,NA,NA,29.44929312,ICP
46,15.61166667,40.00055556,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.225447099,18.22119205,NA,NA,NA,NA,29.44929312,ICP
46,15.61166667,40.00055556,Quercus frainetto (Q. conferta)*,deciduous,angiosperm,Deciduous angiosperm,0.197642857,20.02,NA,NA,NA,NA,29.44929312,ICP
46,15.61166667,40.00055556,Sorbus domestica,deciduous,angiosperm,Deciduous angiosperm,0.057,NA,NA,NA,NA,NA,29.44929312,ICP
47,15.43277778,40.00111111,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.524221818,28.57747036,NA,NA,16.96666667,2.525387427,29.563272,ICP
47,15.43277778,40.00111111,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.092363636,7.633333333,36.31379808,51.50583422,16.96666667,2.525387427,29.563272,ICP
48,-3.126388889,40.00138889,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.295784096,15.13315436,NA,NA,14.8,1.318829255,34.23640608,ICP
49,0.545833333,40.00166667,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.190952381,8.226998689,NA,NA,NA,NA,NA,ICP
50,-7.588888889,40.00277778,Castanea sativa (C. vesca)*,deciduous,angiosperm,Deciduous angiosperm,0.17,NA,25.69828333,NA,14.69166667,3.548222032,32.56946496,ICP
50,-7.588888889,40.00277778,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.194427481,NA,33.50813103,NA,14.69166667,3.548222032,32.56946496,ICP
51,-6.809444444,40.00305556,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.394886872,9.01954023,40.50675481,11.37287734,15.84166667,2.841533675,33.481296,ICP
52,-4.5625,40.00388889,Juniperus oxycedrus*,evergreen,gymnosperm,Evergreen gymnosperm,0.147018868,4.185606061,NA,NA,15.95,2.056359879,34.3361376,ICP
53,0.911944444,40.00527778,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.145240175,6.776068376,NA,NA,NA,NA,NA,ICP
53,0.911944444,40.00527778,Pinus halepensis*,evergreen,gymnosperm,Evergreen gymnosperm,0.367048023,15.66426593,NA,NA,NA,NA,NA,ICP
54,-1.52,40.00583333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.305464191,15.946,NA,NA,11.39166667,1.8484061,33.09661728,ICP
55,-0.676666667,40.00611111,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.264391399,12.14524752,55.89445313,17.40664284,11.575,1.826348195,32.9826384,ICP
56,-5.657777778,40.01055556,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.217044118,14.78348387,NA,NA,16.99166667,2.626066009,33.7662432,ICP
57,-5.785277778,40.01083333,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.41081856,26.01556291,NA,NA,16.05833333,3.290332259,33.6950064,ICP
58,-1.973333333,40.01166667,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.266190476,14.42645503,42.80975694,11.14783733,11.36666667,2.38889904,32.86865952,ICP
59,13.8475,41.00027778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.217127799,23.14929078,NA,NA,NA,NA,NA,ICP
60,2.818055556,41.00111111,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.173076923,NA,17.45492788,NA,NA,NA,NA,ICP
60,2.818055556,41.00111111,Quercus suber*,evergreen,angiosperm,Evergreen angiosperm,0.30015873,8.676470588,NA,NA,NA,NA,NA,ICP
61,-7.4975,41.0025,Castanea sativa (C. vesca)*,deciduous,angiosperm,Deciduous angiosperm,0.166521739,NA,30.195025,NA,12.69166667,2.979715437,31.700376,ICP
61,-7.4975,41.0025,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.51,NA,6.23761,NA,12.69166667,2.979715437,31.700376,ICP
62,15.81944444,41.00361111,Acer campestre*,deciduous,angiosperm,Deciduous angiosperm,0.312388889,24.475,NA,NA,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Acer opalus,deciduous,angiosperm,Deciduous angiosperm,0.3178,26.15,63.50141204,7.641133659,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.131090909,19.03333333,NA,NA,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.276634877,26.92585366,NA,NA,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.1806,NA,NA,NA,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.061565854,NA,NA,NA,15.125,1.898872703,29.69149824,ICP
62,15.81944444,41.00361111,Abies alba*,evergreen,gymnosperm,Evergreen gymnosperm,0.100833333,NA,NA,NA,15.125,1.898872703,29.69149824,ICP
63,2.774166667,41.005,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.170749415,9.054807692,NA,NA,NA,NA,NA,ICP
63,2.774166667,41.005,NA,NA,NA,NA,NA,NA,57.96923077,NA,NA,NA,NA,ICP
64,14.9025,41.00583333,Acer campestre*,deciduous,angiosperm,Deciduous angiosperm,0.138529412,17.87142857,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Acer opalus,deciduous,angiosperm,Deciduous angiosperm,0.1569375,17.48571429,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.086365931,15.4,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Crataegus monogyna,deciduous,angiosperm,Deciduous angiosperm,0.036,NA,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.151,15.5,24.27084135,10.36993862,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Fraxinus excelsior*,deciduous,angiosperm,Deciduous angiosperm,0.105625,19.15,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.207055556,NA,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.326243243,24.34210526,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Sorbus torminalis,deciduous,angiosperm,Deciduous angiosperm,0.120045455,12.76666667,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Tilia platyphyllos,deciduous,angiosperm,Deciduous angiosperm,0.1049375,14.525,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,"Ulmus glabra (U. scabra, U. scaba, U. montana)",deciduous,angiosperm,Deciduous angiosperm,0.075863636,12.175,NA,NA,13.775,3.531991278,29.2783248,ICP
64,14.9025,41.00583333,Abies alba*,evergreen,gymnosperm,Evergreen gymnosperm,0.163993902,16.14642857,NA,NA,13.775,3.531991278,29.2783248,ICP
65,13.23583333,41.00611111,Fraxinus ornus*,deciduous,angiosperm,Deciduous angiosperm,0.079447837,9.674603175,30.33760817,39.46990667,NA,NA,NA,ICP
65,13.23583333,41.00611111,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.052,NA,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Arbutus unedo,evergreen,angiosperm,Evergreen angiosperm,0.094669048,NA,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Erica arborea,evergreen,angiosperm,Evergreen angiosperm,0.072380952,5.5,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Ilex aquifolium,evergreen,angiosperm,Evergreen angiosperm,0.03,NA,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Phyllyrea angustifolia,evergreen,angiosperm,Evergreen angiosperm,0.061318841,6.491666667,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Pistacia lentiscus,evergreen,angiosperm,Evergreen angiosperm,0.041333333,NA,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.128058484,10.12237762,NA,NA,NA,NA,NA,ICP
65,13.23583333,41.00611111,Rhamnus alaternus,evergreen,angiosperm,Evergreen angiosperm,0.0365,NA,NA,NA,NA,NA,NA,ICP
66,-3.385,41.00805556,Juniperus thurifera*,evergreen,gymnosperm,Evergreen gymnosperm,0.140269608,6.041551247,NA,NA,8.683333333,2.718007274,30.87402912,ICP
67,-2.131388889,41.00833333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.303349311,17.33859935,NA,NA,10.39166667,1.848183633,32.29876512,ICP
68,-2.0125,41.00861111,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.17269962,14.67171717,NA,NA,10.28333333,2.252721703,31.99957056,ICP
69,-6.232222222,41.00972222,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.149090909,7,55.50289663,53.18221806,12.75,2.263732281,32.92564896,ICP
69,-6.232222222,41.00972222,Quercus ilex*,evergreen,angiosperm,Evergreen angiosperm,0.155606436,5.470052083,NA,NA,12.75,2.263732281,32.92564896,ICP
70,-4.657777778,41.01,Pinus pinea*,evergreen,gymnosperm,Evergreen gymnosperm,0.313141593,10.56125654,NA,NA,12.85833333,1.542608581,32.54097024,ICP
71,-4.646388889,41.01027778,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.421694631,14.86960557,NA,NA,12.80833333,1.604068036,32.6976912,ICP
72,-8.090555556,41.01388889,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.2241,11.83333333,66.15700721,24.94749221,9.566666667,6.774933853,30.21865056,ICP
73,9.752222222,41.01972222,Fraxinus excelsior*,deciduous,angiosperm,Deciduous angiosperm,0.065333333,NA,9.56092619,NA,NA,NA,NA,ICP
73,9.752222222,41.01972222,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.066970588,NA,NA,NA,NA,NA,NA,ICP
73,9.752222222,41.01972222,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.139864865,NA,NA,NA,NA,NA,NA,ICP
73,9.752222222,41.01972222,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.352512378,24.69899329,NA,NA,NA,NA,NA,ICP
74,-8.063888889,41.03055556,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.34237691,23.06823266,NA,NA,11.8,4.57135845,30.21865056,ICP
75,23.77,42.00027778,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.242504348,13.91875,NA,NA,9.3,5.001324659,27.39767328,ICP
75,23.77,42.00027778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.42174024,23.74358974,NA,NA,9.3,5.001324659,27.39767328,ICP
75,23.77,42.00027778,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.3746,25,NA,NA,9.3,5.001324659,27.39767328,ICP
75,23.77,42.00027778,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.4372,25.2,NA,NA,9.3,5.001324659,27.39767328,ICP
75,23.77,42.00027778,Pinus nigra*,evergreen,gymnosperm,Evergreen gymnosperm,0.341366667,18.4,NA,NA,9.3,5.001324659,27.39767328,ICP
76,-8.27,42.00055556,Pinus pinaster*,evergreen,gymnosperm,Evergreen gymnosperm,0.1982,11.33333333,NA,NA,8.875,9.189904272,28.2810096,ICP
77,-2.740277778,42.00083333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.393898305,22.53958333,NA,NA,7.577777778,4.301291061,27.76810464,ICP
78,23.06583333,42.00083333,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.093055556,10.01666667,NA,NA,13.21666667,1.742285381,29.67725088,ICP
78,23.06583333,42.00083333,Abies alba*,evergreen,gymnosperm,Evergreen gymnosperm,0.399269231,24.58157895,22.16055,2.257901105,13.21666667,1.742285381,29.67725088,ICP
78,23.06583333,42.00083333,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.267432624,17.64509804,3.923136616,0.83137119,13.21666667,1.742285381,29.67725088,ICP
79,27.91138889,42.00111111,Quercus frainetto (Q. conferta)*,deciduous,angiosperm,Deciduous angiosperm,0.331842793,NA,20.46536316,NA,12.93333333,3.1078283,27.81084672,ICP
80,11.82111111,42.0025,Quercus cerris*,deciduous,angiosperm,Deciduous angiosperm,0.147236577,16.46877637,NA,NA,NA,NA,31.0592448,ICP
80,11.82111111,42.0025,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.044,NA,NA,NA,NA,NA,31.0592448,ICP
80,11.82111111,42.0025,Quercus pubescens*,deciduous,angiosperm,Deciduous angiosperm,0.1734,15.18,NA,NA,NA,NA,31.0592448,ICP
80,11.82111111,42.0025,Sorbus torminalis,deciduous,angiosperm,Deciduous angiosperm,0.0345,NA,56.87098558,NA,NA,NA,31.0592448,ICP
81,-1.001111111,42.00416667,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.476095238,29.67236842,NA,NA,12.75,1.916262419,32.14204416,ICP
82,-1.478611111,42.00638889,Quercus faginea*,deciduous,angiosperm,Deciduous angiosperm,0.123706294,9.244318182,54.21594952,47.40895544,15.18333333,1.209975492,31.6291392,ICP
82,-1.478611111,42.00638889,Quercus pubescens*,deciduous,angiosperm,Deciduous angiosperm,0.13,NA,NA,NA,15.18333333,1.209975492,31.6291392,ICP
82,-1.478611111,42.00638889,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,Deciduous angiosperm,0.14,12,NA,NA,15.18333333,1.209975492,31.6291392,ICP
82,-1.478611111,42.00638889,Sorbus torminalis,deciduous,angiosperm,Deciduous angiosperm,0.1065,7.204545455,NA,NA,15.18333333,1.209975492,31.6291392,ICP
83,-0.359166667,42.00666667,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.237142857,15.5,NA,NA,14.31666667,1.762586487,32.92564896,ICP
83,-0.359166667,42.00666667,Quercus faginea*,deciduous,angiosperm,Deciduous angiosperm,0.113333333,NA,NA,NA,14.31666667,1.762586487,32.92564896,ICP
83,-0.359166667,42.00666667,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.1275,8.3,NA,NA,14.31666667,1.762586487,32.92564896,ICP
83,-0.359166667,42.00666667,Abies alba*,evergreen,gymnosperm,Evergreen gymnosperm,0.215632653,14.85042735,NA,NA,14.31666667,1.762586487,32.92564896,ICP
83,-0.359166667,42.00666667,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.288872803,14.42429907,75.14676683,18.03470015,14.31666667,1.762586487,32.92564896,ICP
84,10.87,42.00694444,Fraxinus ornus*,deciduous,angiosperm,Deciduous angiosperm,0.078910569,13.42368421,36.3647476,34.3299899,NA,NA,NA,ICP
84,10.87,42.00694444,Other broadleaves,deciduous,angiosperm,Deciduous angiosperm,0.079333333,NA,NA,NA,NA,NA,NA,ICP
