H,Database
2.410588235,BAAD
8.441666667,BAAD
4.956923077,BAAD
3.26,BAAD
8.1375,BAAD
6.356,BAAD
0.536666667,BAAD
1.4,BAAD
11.11589583,BAAD
11.9242,BAAD
13.205475,BAAD
13.76679091,BAAD
16.64153846,BAAD
12.17163889,BAAD
13.04277778,BAAD
8.593684615,BAAD
10.2428,BAAD
17.39857143,BAAD
12.62,BAAD
16.58615385,BAAD
14.14785714,BAAD
12.43238889,BAAD
12.92875,BAAD
9.238615385,BAAD
13.15468889,BAAD
17.9,BAAD
27.61444444,BAAD
19.03166667,BAAD
16.97436111,BAAD
13.57686667,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
20.98571429,BAAD
17.98571429,BAAD
17.87142857,BAAD
12.96,BAAD
7.716666667,BAAD
1.411105263,BAAD
1.3643125,BAAD
1.477923077,BAAD
1.394454545,BAAD
1.3405625,BAAD
1.19075,BAAD
1.505272727,BAAD
0.189502782,BAAD
0.227803256,BAAD
0.255353942,BAAD
0.165513186,BAAD
0.184477202,BAAD
0.251471308,BAAD
0.248980783,BAAD
0.06315927,BAAD
0.260796889,BAAD
0.139496971,BAAD
0.167099292,BAAD
0.258969746,BAAD
0.38497983,BAAD
0.305786823,BAAD
0.217908738,BAAD
1.307333333,BAAD
1.390454545,BAAD
13.25,BAAD
11.02777778,BAAD
9.3,BAAD
7.466666667,BAAD
8.54875,BAAD
9.7,BAAD
3.255882353,BAAD
6.9375,BAAD
9.785714286,BAAD
4.5,BAAD
7.0875,BAAD
9.422727273,BAAD
5.975,BAAD
4.528571429,BAAD
6.660714286,BAAD
9.416666667,BAAD
4.214285714,BAAD
9.905,BAAD
5.933333333,BAAD
5.775,BAAD
6.65,BAAD
11.05,BAAD
4.042857143,BAAD
7.435714286,BAAD
10.40416667,BAAD
6.946153846,BAAD
1.71,BAAD
1.846,BAAD
2.788,BAAD
2.778,BAAD
2.482,BAAD
2.7356,BAAD
1.316,BAAD
7.3435,BAAD
10.13605263,BAAD
22.15894737,BAAD
12.26382353,BAAD
12.63641026,BAAD
17.9837931,BAAD
2.7448,BAAD
3.53125,BAAD
12.30375,BAAD
7.397142857,BAAD
12.97192308,BAAD
9.998837209,BAAD
4.643870968,BAAD
12.21261905,BAAD
NA,BAAD
0.085044444,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
NA,BAAD
6.854666667,BAAD
9.2,BAAD
12.33333333,BAAD
8.75,BAAD
10.2,BAAD
8.35,BAAD
8.7,BAAD
4.7,BAAD
7.62,BAAD
10.46,BAAD
7.755555556,BAAD
2.2325,BAAD
2.824571429,BAAD
0.696666667,BAAD
0.95,BAAD
0.933333333,BAAD
0.7625,BAAD
0.864285714,BAAD
1.215,BAAD
0.749375,BAAD
0.978571429,BAAD
1.0025,BAAD
0.12,BAAD
0.18,BAAD
0.1475,BAAD
0.215,BAAD
0.215,BAAD
0.133333333,BAAD
0.166428571,BAAD
0.132,BAAD
0.113333333,BAAD
0.19,BAAD
0.139,BAAD
0.112,BAAD
0.145,BAAD
0.085,BAAD
0.159,BAAD
0.16,BAAD
0.15125,BAAD
0.2175,BAAD
0.2275,BAAD
10,BAAD
5.5,BAAD
NA,BAAD
16,BAAD
3,BAAD
NA,BAAD
NA,BAAD
21,BAAD
7.972222222,BAAD
5.85,BAAD
14.72846154,BAAD
6.25,BAAD
2.45,BAAD
6.04,BAAD
15.9,BAAD
6.41,BAAD
3.7,BAAD
9.7,BAAD
18.94285714,BAAD
5.8,BAAD
11.999,BAAD
13.05,BAAD
5.7,BAAD
7,BAAD
7.55,BAAD
5.871052632,BAAD
9.3,BAAD
4.1,BAAD
5,BAAD
3.014285714,BAAD
2,BAAD
10,BAAD
8.440740741,BAAD
5.95546875,BAAD
5.97,BAAD
9.433333333,BAAD
16.4760274,BAAD
NA,BAAD
13.32555556,BAAD
11.50111111,BAAD
13.79571429,BAAD
9.955555556,BAAD
19.5,BAAD
7.925,BAAD
8.28125,BAAD
4.34,BAAD
3.55,BAAD
6.597307692,BAAD
2.95,BAAD
8.6,BAAD
6.1,BAAD
7.403333333,BAAD
1.2,BAAD
17.025,BAAD
6.036857143,BAAD
3.15,BAAD
10.09,BAAD
8.21,BAAD
5.435,BAAD
5.496,BAAD
8.135,BAAD
4.056666667,BAAD
6.483333333,BAAD
5.360833333,BAAD
5.8,BAAD
6.62,BAAD
8.09,BAAD
4.026666667,BAAD
11.35,BAAD
7.606666667,BAAD
9.718571429,BAAD
3.82,BAAD
3.586666667,BAAD
4.976666667,BAAD
9.95,BAAD
14.81,BAAD
11.44,BAAD
17.3,BAAD
14.125,BAAD
2.733076923,BAAD
2.733333333,BAAD
0.54,BAAD
7.413333333,BAAD
2.8,BAAD
2.26,BAAD
1,BAAD
6.916666667,BAAD
3.05,BAAD
2.74,BAAD
1.21,BAAD
8.05,BAAD
6.6,BAAD
2.471428571,BAAD
3.25,BAAD
2.9125,BAAD
1.755,BAAD
9.493333333,BAAD
14.55833333,BAAD
10.265,BAAD
10.525,BAAD
12.325,BAAD
6.222,BAAD
20.66909091,BAAD
21.867,BAAD
22.86,BAAD
6.7975,BAAD
28.472,BAAD
16.505,BAAD
19.385,BAAD
